"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 18:14:54 GMT 2023","Sat Apr 22 18:15:07 GMT 2023","12682","test_conduit","test_conduit","TestConduit","","","test_new_post",""
"passed","Sat Apr 22 18:15:54 GMT 2023","Sat Apr 22 18:16:00 GMT 2023","6330","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"passed","Sat Apr 22 18:16:12 GMT 2023","Sat Apr 22 18:16:20 GMT 2023","8475","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sat Apr 22 18:15:20 GMT 2023","Sat Apr 22 18:15:53 GMT 2023","32503","test_conduit","test_conduit","TestConduit","","","test_new_comments",""
"passed","Sat Apr 22 18:14:35 GMT 2023","Sat Apr 22 18:14:36 GMT 2023","817","test_conduit","test_conduit","TestConduit","","","test_login",""
"passed","Sat Apr 22 18:14:33 GMT 2023","Sat Apr 22 18:14:34 GMT 2023","1048","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 22 18:14:37 GMT 2023","Sat Apr 22 18:14:46 GMT 2023","9349","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Apr 22 18:14:27 GMT 2023","Sat Apr 22 18:14:28 GMT 2023","1026","test_conduit","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Sat Apr 22 18:15:08 GMT 2023","Sat Apr 22 18:15:19 GMT 2023","11356","test_conduit","test_conduit","TestConduit","","","test_pages",""
"passed","Sat Apr 22 18:14:48 GMT 2023","Sat Apr 22 18:14:53 GMT 2023","5419","test_conduit","test_conduit","TestConduit","","","test_data_list",""
"passed","Sat Apr 22 18:14:29 GMT 2023","Sat Apr 22 18:14:32 GMT 2023","2398","test_conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Sat Apr 22 18:16:02 GMT 2023","Sat Apr 22 18:16:11 GMT 2023","9061","test_conduit","test_conduit","TestConduit","","","test_change_bio",""
