"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 12 17:23:59 GMT 2023","Wed Apr 12 17:24:10 GMT 2023","10542","test_conduit","test_conduit","TestConduit","","","test_data_list",""
"broken","Wed Apr 12 17:24:11 GMT 2023","Wed Apr 12 17:24:22 GMT 2023","10568","test_conduit","test_conduit","TestConduit","","","test_new_post",""
"broken","Wed Apr 12 17:23:43 GMT 2023","Wed Apr 12 17:23:46 GMT 2023","3532","test_conduit","test_conduit","TestConduit","","","test_login",""
"broken","Wed Apr 12 17:24:23 GMT 2023","Wed Apr 12 17:24:34 GMT 2023","10559","test_conduit","test_conduit","TestConduit","","","test_pages",""
"broken","Wed Apr 12 17:24:35 GMT 2023","Wed Apr 12 17:24:46 GMT 2023","10560","test_conduit","test_conduit","TestConduit","","","test_new_comments",""
"passed","Wed Apr 12 17:23:40 GMT 2023","Wed Apr 12 17:23:42 GMT 2023","1112","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Apr 12 17:24:59 GMT 2023","Wed Apr 12 17:25:09 GMT 2023","10548","test_conduit","test_conduit","TestConduit","","","test_change_bio",""
"passed","Wed Apr 12 17:23:38 GMT 2023","Wed Apr 12 17:23:39 GMT 2023","1106","test_conduit","test_conduit","TestConduit","","","test_home_page_appearances",""
"broken","Wed Apr 12 17:23:48 GMT 2023","Wed Apr 12 17:23:58 GMT 2023","10542","test_conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Apr 12 17:24:47 GMT 2023","Wed Apr 12 17:24:57 GMT 2023","10559","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"broken","Wed Apr 12 17:25:11 GMT 2023","Wed Apr 12 17:25:21 GMT 2023","10548","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
