"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 11 23:25:16 GMT 2023","Tue Apr 11 23:25:16 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"broken","Tue Apr 11 23:25:14 GMT 2023","Tue Apr 11 23:25:14 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"broken","Tue Apr 11 23:25:11 GMT 2023","Tue Apr 11 23:25:11 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_data_list",""
"broken","Tue Apr 11 23:25:10 GMT 2023","Tue Apr 11 23:25:10 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Tue Apr 11 23:25:08 GMT 2023","Tue Apr 11 23:25:08 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Tue Apr 11 23:25:09 GMT 2023","Tue Apr 11 23:25:09 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_login",""
"broken","Tue Apr 11 23:25:12 GMT 2023","Tue Apr 11 23:25:12 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_pages",""
"broken","Tue Apr 11 23:25:11 GMT 2023","Tue Apr 11 23:25:11 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_new_post",""
"broken","Tue Apr 11 23:25:13 GMT 2023","Tue Apr 11 23:25:13 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_new_comments",""
"broken","Tue Apr 11 23:25:15 GMT 2023","Tue Apr 11 23:25:15 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_change_bio",""
"broken","Tue Apr 11 23:25:06 GMT 2023","Tue Apr 11 23:25:06 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_home_page_appearances",""
