"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 23:42:17 GMT 2023","Tue Apr 11 23:42:18 GMT 2023","1031","test_conduit","test_conduit","TestConduit","","","test_home_page_appearances",""
"broken","Tue Apr 11 23:43:46 GMT 2023","Tue Apr 11 23:43:56 GMT 2023","10500","test_conduit","test_conduit","TestConduit","","","test_change_bio",""
"broken","Tue Apr 11 23:42:29 GMT 2023","Tue Apr 11 23:42:40 GMT 2023","10497","test_conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Tue Apr 11 23:43:20 GMT 2023","Tue Apr 11 23:43:31 GMT 2023","10480","test_conduit","test_conduit","TestConduit","","","test_new_comments",""
"broken","Tue Apr 11 23:43:33 GMT 2023","Tue Apr 11 23:43:44 GMT 2023","10498","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"broken","Tue Apr 11 23:42:42 GMT 2023","Tue Apr 11 23:42:53 GMT 2023","10486","test_conduit","test_conduit","TestConduit","","","test_data_list",""
"broken","Tue Apr 11 23:42:55 GMT 2023","Tue Apr 11 23:43:05 GMT 2023","10485","test_conduit","test_conduit","TestConduit","","","test_new_post",""
"broken","Tue Apr 11 23:43:59 GMT 2023","Tue Apr 11 23:44:09 GMT 2023","10489","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"broken","Tue Apr 11 23:42:24 GMT 2023","Tue Apr 11 23:42:27 GMT 2023","3290","test_conduit","test_conduit","TestConduit","","","test_login",""
"passed","Tue Apr 11 23:42:20 GMT 2023","Tue Apr 11 23:42:21 GMT 2023","1046","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Tue Apr 11 23:43:08 GMT 2023","Tue Apr 11 23:43:18 GMT 2023","10488","test_conduit","test_conduit","TestConduit","","","test_pages",""
