"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 18:48:24 GMT 2023","Sat Apr 22 18:48:57 GMT 2023","32956","test_conduit","test_conduit","TestConduit","","","test_new_comments",""
"passed","Sat Apr 22 18:47:58 GMT 2023","Sat Apr 22 18:48:11 GMT 2023","12832","test_conduit","test_conduit","TestConduit","","","test_new_post",""
"passed","Sat Apr 22 18:47:40 GMT 2023","Sat Apr 22 18:47:50 GMT 2023","9427","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Apr 22 18:47:36 GMT 2023","Sat Apr 22 18:47:37 GMT 2023","1060","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 22 18:49:17 GMT 2023","Sat Apr 22 18:49:26 GMT 2023","8608","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sat Apr 22 18:47:51 GMT 2023","Sat Apr 22 18:47:57 GMT 2023","5521","test_conduit","test_conduit","TestConduit","","","test_data_list",""
"passed","Sat Apr 22 18:49:06 GMT 2023","Sat Apr 22 18:49:16 GMT 2023","9702","test_conduit","test_conduit","TestConduit","","","test_change_bio",""
"passed","Sat Apr 22 18:48:12 GMT 2023","Sat Apr 22 18:48:23 GMT 2023","11442","test_conduit","test_conduit","TestConduit","","","test_pages",""
"passed","Sat Apr 22 18:47:32 GMT 2023","Sat Apr 22 18:47:35 GMT 2023","2506","test_conduit","test_conduit","TestConduit","","","test_sign_up",""
"passed","Sat Apr 22 18:47:30 GMT 2023","Sat Apr 22 18:47:31 GMT 2023","1037","test_conduit","test_conduit","TestConduit","","","test_home_page_appearances",""
"passed","Sat Apr 22 18:48:58 GMT 2023","Sat Apr 22 18:49:05 GMT 2023","6423","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"passed","Sat Apr 22 18:47:38 GMT 2023","Sat Apr 22 18:47:39 GMT 2023","840","test_conduit","test_conduit","TestConduit","","","test_login",""
