"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 12 22:44:36 GMT 2023","Wed Apr 12 22:44:36 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Wed Apr 12 22:44:37 GMT 2023","Wed Apr 12 22:44:37 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Apr 12 22:44:37 GMT 2023","Wed Apr 12 22:44:37 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_login",""
"broken","Wed Apr 12 22:44:41 GMT 2023","Wed Apr 12 22:44:41 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_new_comments",""
"broken","Wed Apr 12 22:44:33 GMT 2023","Wed Apr 12 22:44:33 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_home_page_appearances",""
"broken","Wed Apr 12 22:44:43 GMT 2023","Wed Apr 12 22:44:43 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_change_bio",""
"broken","Wed Apr 12 22:44:42 GMT 2023","Wed Apr 12 22:44:42 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_save_data",""
"broken","Wed Apr 12 22:44:44 GMT 2023","Wed Apr 12 22:44:44 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_delete_article",""
"broken","Wed Apr 12 22:44:38 GMT 2023","Wed Apr 12 22:44:38 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_data_list",""
"broken","Wed Apr 12 22:44:40 GMT 2023","Wed Apr 12 22:44:40 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_pages",""
"broken","Wed Apr 12 22:44:39 GMT 2023","Wed Apr 12 22:44:39 GMT 2023","0","test_conduit","test_conduit","TestConduit","","","test_new_post",""
